GEOID20,C_TOT22,C_HSP22,C_NHS22,C_WHT22,C_BLA22,C_AMI22,C_ASI22,C_NHP22,C_2OM22,C_BLW22,C_AIW22,C_ASW22,C_AIB22,C_AIA22,C_ASN22,C_BLK22,CVAP_TOT22,CVAP_HSP22,CVAP_NHS22,CVAP_WHT22,CVAP_BLA22,CVAP_AMI22,CVAP_ASI22,CVAP_NHP22,CVAP_2OM22,CVAP_BLW22,CVAP_AIW22,CVAP_ASW22,CVAP_AIB22,CVAP_AIA22,CVAP_ASN22,CVAP_BLK22
011250103033007,128,0,128,21,159,0,0,0,0,0,0,0,0,0,0,154,119,0,118,15,158,0,0,0,0,0,0,0,0,0,0,154
011250124082007,245,28,216,3,212,0,0,0,0,0,0,0,0,0,0,224,168,15,153,4,146,0,0,0,0,0,0,0,0,0,0,153
011250112002038,106,0,190,92,139,0,0,0,5,2,0,0,0,1,0,140,106,0,194,94,145,0,0,0,5,2,0,0,0,2,0,147
011250121012015,779,70,645,436,176,0,0,0,0,0,0,54,0,0,43,177,692,39,634,438,146,0,0,0,0,0,0,54,0,0,46,147
011250123063004,308,4,301,162,136,0,0,0,0,0,0,6,0,0,5,133,294,3,286,133,144,0,0,0,0,0,0,16,0,0,6,142
011250103033005,154,0,154,33,170,0,0,0,0,0,0,0,0,0,0,166,137,0,136,32,145,0,0,0,0,0,0,0,0,0,0,141
011250125042048,285,0,289,0,255,0,16,0,0,0,0,0,0,0,15,260,137,0,138,0,142,0,0,0,0,0,0,0,0,0,0,141
011250102042001,753,6,740,512,223,0,0,0,22,0,0,0,0,0,0,221,648,6,641,482,141,0,0,0,30,0,0,0,0,0,0,141
011250125033000,403,0,412,204,200,0,0,0,0,12,0,0,0,0,0,223,300,0,303,171,139,0,0,0,0,0,0,0,0,0,0,139
011250128001006,201,0,204,0,199,0,0,0,0,0,0,0,0,0,0,195,147,0,148,0,141,0,0,0,0,0,0,0,0,0,0,138
011250117012023,193,1,199,6,182,0,0,0,0,0,1,0,0,0,0,180,147,0,154,6,136,0,0,0,0,0,1,0,0,0,0,135
011250123041015,214,1,211,24,183,0,0,0,6,0,0,0,0,0,0,183,169,2,162,25,135,0,0,0,5,0,0,0,0,0,0,133
011250124082005,172,11,156,3,162,0,0,0,0,0,0,0,0,0,0,158,136,4,129,3,134,0,0,0,0,0,0,0,0,0,0,133
011250107052011,601,5,582,441,162,4,0,0,0,3,0,0,5,8,0,168,462,0,452,341,128,5,0,0,0,0,0,0,2,6,0,130
011250123041003,270,1,266,70,195,0,0,0,6,0,0,0,0,0,0,191,195,2,188,56,131,0,0,0,5,0,0,0,0,0,0,129
011250119011002,241,0,238,112,149,0,0,0,0,0,0,0,0,0,0,146,215,0,213,108,131,0,0,0,0,0,0,0,0,0,0,128
011250123063036,281,9,271,121,146,0,0,0,0,0,0,6,0,0,10,144,243,8,233,97,127,0,0,0,0,0,0,17,0,0,12,127
011250108022008,334,5,334,152,170,0,1,0,0,0,0,0,1,0,1,168,256,6,251,109,126,0,1,0,0,0,0,0,1,0,1,126
011250103033037,170,0,170,48,157,0,0,0,0,0,0,0,0,0,0,156,139,0,139,39,126,0,0,0,0,0,0,0,0,0,0,126
011250112001023,654,130,552,374,102,0,7,0,0,0,0,0,0,0,10,130,614,131,513,339,97,0,8,0,0,0,0,0,3,0,10,125
011250123052051,348,0,356,159,159,1,8,0,0,0,0,0,0,2,7,159,314,0,319,153,122,1,9,0,0,0,0,0,0,1,8,125
011250123052021,327,6,322,154,118,0,29,0,0,0,0,0,0,0,26,120,328,7,321,154,127,0,31,0,0,0,0,0,0,0,29,125
011250119012007,149,0,151,15,131,0,0,0,0,0,0,0,0,0,0,130,143,0,143,18,126,0,0,0,0,0,0,0,0,0,0,124
011250123052055,191,12,170,53,138,0,0,0,0,0,0,0,0,0,0,137,162,9,148,47,125,0,0,0,0,0,0,0,0,0,0,122
011250125032025,148,0,147,22,136,0,18,0,0,3,2,0,0,1,15,138,116,0,117,17,115,0,21,0,0,6,0,0,0,0,18,120
011250117011018,118,0,118,0,122,0,0,0,0,0,0,0,0,0,0,121,115,0,115,0,119,0,0,0,0,0,0,0,0,0,0,119
011250104071000,268,7,253,6,271,0,0,0,0,0,0,0,0,0,0,274,127,8,117,6,116,0,0,0,0,0,0,0,0,0,0,118
011250108042009,221,15,200,59,168,0,0,0,0,0,0,0,0,0,0,164,176,6,166,60,124,0,0,0,0,0,0,0,0,0,0,118
011250104041016,245,3,280,1,305,0,0,0,0,0,0,0,0,0,0,304,97,1,109,1,117,0,0,0,0,0,0,0,0,0,0,117
011250125011023,139,0,139,6,139,0,0,0,0,0,0,0,0,0,0,138,118,0,118,6,117,0,0,0,0,1,0,0,0,0,0,117
011250103032028,123,0,121,52,96,0,0,0,0,0,0,0,0,0,0,96,123,0,121,45,115,0,0,0,0,0,0,0,0,0,0,117
011250112001008,309,18,278,167,90,1,0,0,0,157,45,1,0,19,0,125,288,18,256,153,86,1,0,0,0,100,45,1,1,21,0,117
011250104042017,187,0,196,4,162,0,0,0,0,0,0,0,0,0,0,159,134,0,140,4,119,0,0,0,0,0,0,0,0,0,0,116
011250124042033,219,0,225,6,172,0,0,0,0,0,0,0,0,0,0,171,148,0,150,3,116,0,0,0,0,0,0,0,0,0,0,116
011250124041021,177,3,177,17,138,0,0,0,0,0,0,0,0,0,0,140,142,0,146,17,115,0,0,0,0,0,0,0,0,0,0,116
011250104031006,113,0,119,14,128,0,0,0,0,0,0,0,0,0,0,122,103,0,109,15,121,0,0,0,0,0,0,0,0,0,0,116
011250123071022,337,4,334,168,174,0,9,0,0,0,0,0,0,0,7,173,263,0,266,158,116,0,10,0,0,0,0,0,0,0,8,115
011250102042000,677,3,677,501,172,0,0,0,0,0,0,0,0,0,0,171,584,3,583,458,114,0,0,0,0,0,0,0,0,0,0,114
011250128001000,127,0,129,0,137,0,0,0,0,0,0,0,0,0,0,134,108,0,109,0,117,0,0,0,0,0,0,0,0,0,0,114
011250123051008,197,0,200,35,162,0,0,0,0,0,0,0,0,1,0,161,151,0,154,41,116,0,0,0,0,0,0,0,0,0,0,114
